MLBID,MLBNAME
547989,Jose Abreu
660670,Ronald Acuna
642715,Willy Adames
572669,Lane Adams
571431,Matt Adams
451192,Jim Adduci
501303,Ehire Adrianza
542583,Jesus Aguilar
605113,Nick Ahmed
645277,Ozzie Albies
645261,Sandy Alcantara
518397,Scott Alexander
595751,Jorge Alfaro
546990,Anthony Alford
663465,Kolby Allard
656185,Greg Allen
501659,Abraham Almonte
546991,Albert Almora
475174,Yonder Alonso
571437,Aaron Altherr
514888,Jose Altuve
476883,Pedro Alvarez
474463,Brett Anderson
605119,Brian Anderson
502624,Chase Anderson
641313,Tim Anderson
542881,Tyler Anderson
607430,John Andreoli
462101,Elvis Andrus
609280,Miguel Andujar
502042,Chris Archer
516472,Francisco Arcia
606115,Orlando Arcia
571448,Nolan Arenado
453562,Jake Arrieta
624414,Christian Arroyo
553902,Willians Astudillo
641319,Carlos Asuaje
592122,Tyler Austin
488671,Alex Avila
501593,Luis Avilan
664056,Harrison Bader
595879,Javier Baez
520980,Pedro Baez
456701,Homer Bailey
542908,Jett Bandy
605131,Austin Barnes
488681,Brandon Barnes
571466,Tucker Barnhart
620439,Franklin Barreto
642545,Jaime Barria
641343,Jake Bauers
545333,Trevor Bauer
430832,Jose Bautista
571476,Chris Beck
493596,Gordon Beckham
542921,Tim Beckham
595881,Tyler Beede
656222,Jalen Beeks
641355,Cody Bellinger
605137,Josh Bell
474832,Brandon Belt
134181,Adrian Beltre
643217,Andrew Benintendi
621244,Jose Berrios
518452,Chad Bettis
605141,Mookie Betts
595885,Greg Bird
621389,Ty Blach
453568,Charlie Blackmon
453923,Gregor Blanco
607468,Alex Blandino
518466,Jabari Blash
593428,Xander Bogaerts
593528,Jorge Bonifacio
488721,Peter Bourjos
571506,Justin Bour
571510,Matt Boyd
598265,Jackie Bradley Jr.
488726,Michael Brantley
643230,Steven Brault
460075,Ryan Braun
608324,Alex Bregman
592169,Austin Brice
593993,Jose Briceno
656257,Jeff Brigham
621446,Lewis Brinson
593647,Socrates Brito
542979,Keon Broxton
457803,Jay Bruce
592178,Kris Bryant
453329,Clay Buchholz
621111,Walker Buehler
518516,Madison Bumgarner
605164,Dylan Bundy
669203,Corbin Burnes
460077,Drew Butera
